step,season,convert_capacity_factor,max_convert_capacity,bonus_stalk_per_bdv,bdv_converted_this_season, bdv_converted_last_season, last_convert_bonus_taken
0,7280,1000000,38400000,1002037288,38400000,0,0
1,7281,1549033,59482867,999998522,59482867,38400000,1002037288
2,7282,2098066,80565734,997959736,80565734,59482867,999998522
3,7283,2647099,101648601,995920934,101648601,80565734,997959736
4,7284,3196131,122731430,993882120,0,101648601,995920934
5,7285,3196131,122731430,995920946,122731430,0,995920934
6,7286,3745163,143814259,993882093,0,122731430,995920946
7,7287,3745163,143814259,995920959,143814259,0,995920946
8,7288,4294195,164897088,993882070,0,143814259,995920959
9,7289,4294195,164897088,995920971,164897088,0,995920959
10,7290,4843226,185979878,993882051,0,164897088,995920971
11,7291,4843226,185979878,995920983,100000000,0,995920971
12,7292,3021836,116038502,993882020,0,100000000,995920971
13,7293,3021836,116038502,995920996,100000000,0,995920971
14,7294,3021836,116038502,993881989,0,100000000,995920996
15,7295,3021836,116038502,995921008,100000000,0,995920996
16,7296,3021836,116038502,993881957,0,100000000,995921008
17,7297,3021836,116038502,995921020,100000000,0,995921008
18,7298,3021836,116038502,993881926,0,100000000,995921020
19,7299,3021836,116038502,995921033,100000000,0,995921020
20,7300,3021836,116038502,993881895,0,100000000,995921033
21,7301,3021836,116038502,995921045,100000000,0,995921033
22,7302,3021836,116038502,993881863,0,100000000,995921045
23,7303,3021836,116038502,995921057,100000000,0,995921045
24,7304,3021836,116038502,993881832,0,100000000,995921057
25,7305,3021836,116038502,995921070,100000000,0,995921057
26,7306,3021836,116038502,993881801,0,100000000,995921070
27,7307,3021836,116038502,995921082,100000000,0,995921070
28,7308,3021836,116038502,993881769,0,100000000,995921082
29,7309,3021836,116038502,995921094,100000000,0,995921082
30,7310,3021836,116038502,993881738,0,100000000,995921094
31,7311,3021836,116038502,995921106,100000000,0,995921094
32,7312,3021836,116038502,993881706,0,100000000,995921106
33,7313,3021836,116038502,995921118,100000000,0,995921106
34,7314,3021836,116038502,993881675,0,100000000,995921118
35,7315,3021836,116038502,995921131,100000000,0,995921118
36,7316,3021836,116038502,993881644,0,100000000,995921131
37,7317,3021836,116038502,995921143,100000000,0,995921131
38,7318,3021836,116038502,993881612,0,100000000,995921143
39,7319,3021836,116038502,995921155,100000000,0,995921143
40,7320,3021836,116038502,993881581,0,100000000,995921155
41,7321,3021836,116038502,995921167,100000000,0,995921155
42,7322,3021836,116038502,993881549,0,100000000,995921167
43,7323,3021836,116038502,995921179,100000000,0,995921167
44,7324,3021836,116038502,993881518,0,100000000,995921179
45,7325,3021836,116038502,995921192,100000000,0,995921179
46,7326,3021836,116038502,993881487,0,100000000,995921192
47,7327,3021836,116038502,995921204,100000000,0,995921192
48,7328,3021836,116038502,993881455,0,100000000,995921204
49,7329,3021836,116038502,995921216,100000000,0,995921204
